user_id,session_id,timestamp,feature_name,event_type,device_type,Place
28,01JWA8EE72MA59EKVQ7PX03MH6,11/11/2024,Dashboard,start,Desktop,Canada
29,01JWA8EE73ZMPCFZ5F4ZT4GPGQ,01/12/2025,Cart,start,Mobile,Russia
30,01JWA8EE76EEPE0AXJJA1BEGN1,10/15/2024,Cart,start,Desktop,Russia
31,01JWA8EE77EJB6ZYRBH38HMD5D,8/25/2024,Login,drop,Mobile,United States
32,01JWA8EE79EGSE2F6CWJFFVHGY,12/19/2024,Cart,complete,Desktop,United States
33,01JWA8EE7BC4XWEJZXX0P0W8Z0,5/19/2025,Login,click,Mobile,Japan
34,01JWA8EE7CQBFP0A8FFGFCJ323,06/08/2024,Search,drop,Desktop,Russia
35,01JWA8EE7ESA9TPH0SDMPNXBYF,11/18/2024,Checkout,complete,Desktop,Russia
36,01JWA8EE7G0VADGDAQ7P84X9Z2,8/28/2024,Login,click,Mobile,Japan
37,01JWA8EE7H1W1GCRV9GGZTC9HJ,10/28/2024,Dashboard,click,Desktop,Russia
38,01JWA8EE7KS47MS0K9PY4T5N0Q,04/02/2025,Checkout,click,Desktop,Russia
39,01JWA8EE7MXTWPH7AXG8SYAB3B,11/05/2024,Dashboard,complete,Mobile,Russia
40,01JWA8EE7PWH4EKH39Y0SJ964S,9/13/2024,Checkout,drop,Desktop,Japan
41,01JWA8EE7Q3PBP6ES61WNHZ7QJ,10/25/2024,Search,drop,Mobile,United States
42,01JWA8EE7RXEHVQTG04PFH92EG,9/22/2024,Checkout,drop,Desktop,United Kingdom
43,01JWA8EE7TG81GFX1PKZ43RB89,10/25/2024,Cart,complete,Mobile,Russia
44,01JWA8EE7V2YW9SA9TQXQX2P43,10/09/2024,Login,complete,Desktop,United States
45,01JWA8EE7XQ2JRSYHZ8VT8FQVM,05/08/2025,Search,complete,Mobile,Russia
46,01JWA8EE7ZVDHZCMZBZB0X3GXR,09/02/2024,Login,start,Mobile,Japan
47,01JWA8EE80XHBBKD8V7G6E4TFR,06/09/2024,Login,drop,Mobile,Canada
48,01JWA8EE82QN3KENQG79K0HM3C,09/07/2024,Cart,start,Mobile,Russia
49,01JWA8EE840C0R0QMQS8D1YPJB,3/21/2025,Dashboard,drop,Desktop,Russia
50,01JWA8EE8689VGAFR3AAG4X7SZ,02/09/2025,Search,drop,Desktop,United States
51,01JWA8EE87SYJRHSFDFZC1B657,2/16/2025,Dashboard,start,Desktop,Canada
52,01JWA8EE88QWW86P9WWE3RZTY5,06/10/2024,Cart,drop,Mobile,Canada
53,01JWA8EE89ZJENWM3A39QJNSQG,3/31/2025,Login,click,Mobile,Russia
54,01JWA8EE8AQYH5ZCP7XS326W15,08/11/2024,Login,click,Mobile,Russia
55,01JWA8EE8BGWTEBG3K0GFRZVR2,12/31/2024,Dashboard,start,Mobile,Russia
56,01JWA8EE8E1324HM9PB7A5K8T4,2/16/2025,Dashboard,complete,Mobile,Russia
57,01JWA8EE8GV6PS7S25YKK2DMGG,10/17/2024,Dashboard,start,Mobile,Russia
58,01JWA8EE8J3QHD8E5785TRN8MB,12/26/2024,Checkout,drop,Desktop,Russia
59,01JWA8EE8ME1MZWP0W7C06AZ4H,09/05/2024,Login,complete,Mobile,Russia
60,01JWA8EE8QJW2Y31S9MRZX3KQM,2/20/2025,Cart,drop,Mobile,Japan
61,01JWA8EE8R90Z029QMJF8YD5EW,11/15/2024,Dashboard,click,Mobile,Ireland
62,01JWA8EE8TCXDF5K3CQH5H1TY4,8/27/2024,Dashboard,complete,Mobile,Japan
63,01JWA8EE8XXZGQC9YP47QBGQ0A,9/23/2024,Login,start,Mobile,Canada
64,01JWA8EE8ZVMMTGZ85W2KP9M9H,9/15/2024,Login,start,Mobile,Russia
65,01JWA8EE918FDS7MMGMKWK34TN,09/12/2024,Search,drop,Mobile,Russia
66,01JWA8EE92RF790RFN9CM19QX8,4/13/2025,Cart,complete,Desktop,United States
67,01JWA8EE93Q7DDTQ1NPB71G6GZ,3/26/2025,Dashboard,complete,Mobile,Japan
68,01JWA8EE945GWB49Q3P0X56310,11/05/2024,Login,complete,Mobile,United States
69,01JWA8EE96PR4P3EA02BXK3Q1P,05/05/2025,Search,drop,Desktop,United States
70,01JWA8EE98P58QK3SVQYF12JEP,02/08/2025,Cart,click,Mobile,Ireland
71,01JWA8EE9A8ZM41XVJJYX3TR6Z,9/26/2024,Login,click,Desktop,Russia
72,01JWA8EE9B0FR3SMS9PWFRR645,9/23/2024,Checkout,complete,Mobile,Japan
73,01JWA8EE9D1NWQGFZJ1TNJXN8T,12/12/2024,Login,click,Desktop,Russia
74,01JWA8EE9FTSZVFYY0QRF1DMZN,1/15/2025,Checkout,start,Mobile,Japan
75,01JWA8EE9H4A2D01MA3JR9F797,9/17/2024,Checkout,drop,Mobile,Russia
76,01JWA8EE9K0SDV0NHP1M6VWR6E,08/10/2024,Login,start,Mobile,Netherlands
77,01JWA8EE9PKDGS3MYRMY2JK65N,06/08/2024,Cart,complete,Mobile,United States
78,01JWA8EE9QHH0W5NM4CGHNGC0E,05/11/2025,Search,complete,Mobile,United States
79,01JWA8EE9T9PJTG6VYZ4W55R7J,9/16/2024,Login,complete,Mobile,United States
80,01JWA8EE9WTF15PG9ZBN8ZV22Y,7/21/2024,Cart,drop,Desktop,Japan
81,01JWA8EE9XXNA792AME7YVKFSG,04/04/2025,Search,click,Mobile,Russia
82,01JWA8EE9YY9R255KNQN9B8YEV,10/19/2024,Login,start,Mobile,Netherlands
83,01JWA8EE9ZM09M8R2TTK11J4J6,11/09/2024,Search,start,Desktop,Russia
84,01JWA8EEA0HX3A2X22NNV1VHK4,08/10/2024,Login,click,Desktop,Russia
85,01JWA8EEA22HMV496DKMQHPSY6,12/03/2024,Dashboard,drop,Mobile,United States
86,01JWA8EEA3D9MK9T2RSEEEP90F,6/17/2024,Cart,click,Mobile,Ireland
87,01JWA8EEA4DVAKBGWX4TZ60921,07/04/2024,Dashboard,click,Mobile,Russia
88,01JWA8EEA5CRQX1Q3JY4Y7FSVH,06/03/2024,Dashboard,start,Desktop,Russia
89,01JWA8EEA7VG7H4ZDGKBFZZMNM,1/28/2025,Search,start,Mobile,Russia
90,01JWA8EEA8FKBGTS8H71RHX20F,7/25/2024,Login,start,Desktop,Russia
91,01JWA8EEA9W0CFKXV9TEKP0A91,01/04/2025,Search,start,Desktop,Russia
92,01JWA8EEAABQS9P62Q2T2EKWEJ,10/04/2024,Checkout,click,Mobile,Canada
93,01JWA8EEAB6E8YFBXQG2FQ2SGW,03/08/2025,Checkout,start,Mobile,United Kingdom
94,01JWA8EEAC723135XVQXCCEQ5X,3/24/2025,Dashboard,drop,Desktop,Russia
95,01JWA8EEAD6N9F7K8ET0AT3YZ7,1/31/2025,Search,start,Desktop,Russia
96,01JWA8EEAFDV2CH3XWW2K5RH0E,03/06/2025,Search,click,Desktop,Japan
97,01JWA8EEAGZWCRYDDXH6JC7GWV,4/14/2025,Dashboard,drop,Mobile,Canada
98,01JWA8EEAHD6YJ9Q3QGFEM7Q5Z,7/28/2024,Checkout,complete,Desktop,Netherlands
99,01JWA8EEAJ9C8R0TY1AXY6T55F,2/20/2025,Search,complete,Mobile,Canada
100,01JWA8EEAKEN4ABQNDFWKTTAN1,6/27/2024,Cart,start,Desktop,Russia
101,01JWA8EEAM7838W0A4DWC6PKM0,7/15/2024,Search,drop,Mobile,Ireland
102,01JWA8EEAPEAFKBJ6KCZN8H7TR,12/23/2024,Login,start,Desktop,Russia
103,01JWA8EEAQRV9BE1Y68FM5Q2VB,11/28/2024,Login,complete,Mobile,Russia
104,01JWA8EEARV668GXV85FT6BHPQ,5/17/2025,Search,drop,Desktop,United States
105,01JWA8EEASZNSCB4W46DCHE1MZ,01/01/2025,Search,complete,Mobile,United States
106,01JWA8EEATGNJPP6ZK2RJDAWFQ,11/06/2024,Login,complete,Desktop,United States
107,01JWA8EEAVDW8JYEBGF3C2BR67,10/19/2024,Cart,drop,Desktop,Ireland
108,01JWA8EEAWCAB61XAM752Q43HA,3/26/2025,Dashboard,complete,Desktop,Russia
109,01JWA8EEAXJR9AQAQAK43BPGTK,10/20/2024,Dashboard,drop,Mobile,Ireland
110,01JWA8EEAYZ0XZ9J39ZJCKBJRW,7/16/2024,Cart,drop,Desktop,Canada
111,01JWA8EEB0QNJ4WXZW3QCVHPHQ,3/18/2025,Cart,drop,Mobile,United States
112,01JWA8EEB1Q5P78M2YJG0724WB,07/05/2024,Login,complete,Mobile,Russia
113,01JWA8EEB28AFH7VAZMXWQAAA2,8/29/2024,Dashboard,drop,Mobile,Russia
114,01JWA8EEB3KF2XVT0Y0Y9N68ER,2/25/2025,Search,start,Desktop,Russia
115,01JWA8EEB4ZEBRBRXNHF4SKFSV,5/25/2025,Cart,complete,Desktop,Ireland
116,01JWA8EEB58J3V7NZNSWEEXZPE,10/09/2024,Dashboard,complete,Mobile,Russia
117,01JWA8EEB6NM8P4D4KFHQGGBD8,3/15/2025,Dashboard,drop,Desktop,Russia
118,01JWA8EEB7W8KQR03JXHBBQWTN,10/24/2024,Cart,start,Desktop,United States
119,01JWA8EEB8Q8F9Q1AC9TW6XH1A,08/03/2024,Checkout,click,Mobile,Russia
120,01JWA8EEB9F9YF2B1S1596FZW6,10/24/2024,Login,complete,Desktop,Russia
121,01JWA8EEBBQ46D99DG9YWFJ9F4,05/02/2025,Login,start,Desktop,United States
122,01JWA8EEBCA31XHRE4J4MY484C,9/17/2024,Login,complete,Desktop,Russia
123,01JWA8EEBDZ02GHPMS756HZ92E,09/10/2024,Search,complete,Desktop,Japan
124,01JWA8EEBEQ90BQ0B90905QPTM,7/29/2024,Search,click,Mobile,United Kingdom
125,01JWA8EEBFTKWNR1WV29M38A2N,02/04/2025,Search,drop,Mobile,Russia
126,01JWA8EEBH2791WH20QTNKKK3H,3/22/2025,Search,complete,Mobile,Japan
127,01JWA8EEBJV64QN3WQ80DH1KES,06/06/2024,Login,start,Mobile,Ireland
128,01JWA8EEBNX0HV4482EHHRMCKY,09/11/2024,Search,click,Mobile,Russia
129,01JWA8EEBPYAHDCATAABNVNTQB,05/10/2025,Dashboard,complete,Mobile,Canada
130,01JWA8EEBQJYKARHNQ3F57Q04J,06/12/2024,Cart,start,Mobile,United States
131,01JWA8EEBRP11BA96R5T40SFN4,04/12/2025,Search,complete,Mobile,Russia
132,01JWA8EEBSBVAPE80JBT502C8C,05/10/2025,Cart,click,Mobile,Ireland
133,01JWA8EEBT8AKXAHDMVBPNRQQE,9/15/2024,Search,start,Desktop,Japan
134,01JWA8EEBVV8M4494W42V9GDDN,01/11/2025,Checkout,start,Desktop,Russia
135,01JWA8EEBXD1AVJVRGAS8ZAYMB,4/28/2025,Search,click,Desktop,Russia
136,01JWA8EEBYH7GQHNP231P3A8TM,5/27/2024,Login,drop,Desktop,Russia
137,01JWA8EEBZZ8JHMJNARG7KQSM6,01/09/2025,Search,click,Mobile,Russia
138,01JWA8EEC08E2Y0CACR5NCWFXQ,05/07/2025,Login,drop,Mobile,Russia
139,01JWA8EEC13R4SKNP69G0XKFM9,3/27/2025,Cart,complete,Desktop,Canada
140,01JWA8EEC2KGNQT34B83DJS0Q8,06/05/2024,Search,complete,Mobile,Russia
141,01JWA8EEC30DYJZBWJ6Q3J89H2,10/16/2024,Login,complete,Mobile,Russia
142,01JWA8EEC4AGXYRS2SXZFWXK2Q,3/24/2025,Login,complete,Mobile,Russia
143,01JWA8EEC6Z0TBC7Y8ZR5HMX6S,7/15/2024,Dashboard,complete,Desktop,United States
144,01JWA8EEC7HYAENTHPPYW4BKWN,07/12/2024,Checkout,start,Mobile,Russia
145,01JWA8EECAY0E5QK9SJ80339BP,10/22/2024,Checkout,click,Desktop,Japan
146,01JWA8EECD67ZNFND0P7T3G2DT,8/22/2024,Login,click,Mobile,Russia
147,01JWA8EECF08FD4G0R6YM9Z4ED,12/23/2024,Cart,click,Mobile,Japan
148,01JWA8EECJCGER99XQEKWRA8XY,06/01/2024,Checkout,start,Mobile,Russia
149,01JWA8EECM77DA08HAJQ8T8T08,10/11/2024,Checkout,start,Mobile,Russia
150,01JWA8EECPHV9G46Y29HZZ2RYE,2/18/2025,Cart,click,Desktop,Japan
151,01JWA8EECQENFBSPPF5BT0RZ0A,4/30/2025,Search,drop,Mobile,Canada
152,01JWA8EECSWMYEFP3C6NDJ1MZW,7/24/2024,Search,click,Mobile,Russia
153,01JWA8EECVH6N2XT5KW2KQJHWK,7/16/2024,Search,complete,Desktop,Netherlands
154,01JWA8EECX1S6GYRYP65FRTZZG,10/13/2024,Login,complete,Desktop,Canada
155,01JWA8EECZDY8JCYPGZJDTSP2N,04/12/2025,Checkout,click,Desktop,Russia
156,01JWA8EED215D233W3CHQ9CC4B,09/07/2024,Login,start,Mobile,Russia
157,01JWA8EED43PN8PDY9JEX5HK1N,2/16/2025,Cart,click,Mobile,Russia
158,01JWA8EED62N2S2QF1TF6XVATE,2/27/2025,Checkout,click,Desktop,Japan
159,01JWA8EED8D5JFXA6R6R2EP5ZT,2/20/2025,Checkout,complete,Mobile,United States
160,01JWA8EEDB37T7505H98D335QT,07/05/2024,Login,drop,Mobile,Russia
161,01JWA8EEDDZDZPHZZBM54FZ6BE,03/08/2025,Login,start,Mobile,United States
162,01JWA8EEDFTSJH3SPK31EYZW61,9/24/2024,Login,complete,Mobile,Japan
163,01JWA8EEDHG7JZ3P0X6QHECZNE,02/06/2025,Login,drop,Desktop,Netherlands
164,01JWA8EEDKVB1VK7FRH65QD717,7/28/2024,Checkout,click,Desktop,Canada
165,01JWA8EEDMT39FKH89REVRPBS9,01/10/2025,Search,drop,Desktop,Japan
166,01JWA8EEDPATZAZYYGVQSAGKZJ,2/20/2025,Cart,click,Mobile,Canada
167,01JWA8EEDSD4TDNXQJ0XD6XAP2,9/20/2024,Login,click,Mobile,Russia
168,01JWA8EEDV58NPKXR5EGZ2CMKF,02/01/2025,Cart,click,Desktop,Netherlands
169,01JWA8EEDX9BBYRDSQM2NY7GZQ,6/29/2024,Dashboard,start,Mobile,United States
170,01JWA8EEE0PQYFTZ4HSWNG2YJ1,1/17/2025,Login,drop,Mobile,Russia
171,01JWA8EEE2KXWKBHFJEWCN0QZT,09/04/2024,Dashboard,complete,Desktop,United States
172,01JWA8EEE4Q1QDFSNEN9VWMZBB,06/10/2024,Checkout,complete,Desktop,United States
173,01JWA8EEE7402JMX0BSC0G9KEC,11/02/2024,Cart,drop,Desktop,Russia
174,01JWA8EEE9W6VRNFP9DF8HGYR4,1/30/2025,Search,drop,Desktop,Russia
175,01JWA8EEEBYF3VF553FVMNB9SE,11/13/2024,Checkout,start,Mobile,Russia
176,01JWA8EEEC4PJRSMV0G70QF4F1,4/18/2025,Search,complete,Mobile,Japan
177,01JWA8EEEE4DBK3XHSFNBN64QK,7/19/2024,Login,start,Mobile,Russia
178,01JWA8EEEG3Z1X031E3MBK0SJG,05/01/2025,Checkout,click,Mobile,Japan
179,01JWA8EEEKYKF0Z7WECDYBQ715,1/27/2025,Dashboard,drop,Desktop,United States
180,01JWA8EEEN2R30RFA174DV6Z02,10/12/2024,Dashboard,complete,Desktop,Russia
181,01JWA8EEEQMTPZFMZSJ8BEJFX9,2/14/2025,Login,complete,Mobile,Russia
182,01JWA8EEER2N909TCGPPWK47T5,11/28/2024,Cart,start,Desktop,Russia
183,01JWA8EEET293TEKC8902KF1NY,02/11/2025,Dashboard,start,Desktop,Russia
184,01JWA8EEEW6E17NAXYFQVJAH80,10/01/2024,Search,drop,Mobile,Japan
185,01JWA8EEEZV9EDHS9292YDW6Y8,10/06/2024,Search,complete,Desktop,United States
186,01JWA8EEF1VNXEN349T800M117,1/29/2025,Checkout,drop,Desktop,Russia
187,01JWA8EEF4KGGGABJTGF0THDWM,03/07/2025,Checkout,start,Mobile,United States
188,01JWA8EEF7RXJR6BTJPYXEDT97,7/28/2024,Checkout,click,Mobile,Japan
189,01JWA8EEF9Y9QXBJ5RHDF3DS4Q,11/03/2024,Checkout,click,Desktop,Ireland
190,01JWA8EEFB1HECXMC1VRWVMZ3P,12/28/2024,Cart,complete,Mobile,Canada
191,01JWA8EEFFT2VZKY8J3VPYQ7KR,10/20/2024,Search,click,Desktop,Russia
192,01JWA8EEFM1YSF1H6Y5CSY1F8Y,09/02/2024,Login,start,Desktop,Russia
193,01JWA8EEFPCGY9VHYCDWWZTKJQ,2/21/2025,Login,drop,Mobile,Japan
194,01JWA8EEFS9MF0W7ZW1FS8CZW0,02/06/2025,Checkout,complete,Mobile,Russia
195,01JWA8EEFVNVKF0CAM0XR4MZKX,11/14/2024,Login,start,Desktop,Russia
196,01JWA8EEFX2HR9433FDHJ0WNWR,2/26/2025,Search,drop,Mobile,Russia
197,01JWA8EEFZ00F64HD9374T249F,3/27/2025,Login,complete,Mobile,Japan
198,01JWA8EEG1QSXHB5DEBGSBZM18,3/31/2025,Dashboard,complete,Mobile,Russia
199,01JWA8EEG3KNFQW0NCANSWZ10R,10/28/2024,Login,start,Mobile,Russia
200,01JWA8EEG5HSG5Q6Y5BBY7H9ZH,7/15/2024,Login,start,Mobile,Russia
201,01JWA8EEG7HWA1MNAMAMQ4A575,1/22/2025,Search,drop,Mobile,Japan
202,01JWA8EEG92HPH63A7WBKQYTR2,8/27/2024,Dashboard,complete,Mobile,Netherlands
203,01JWA8EEGB5B2NX1Y9KYSXNYP6,9/13/2024,Dashboard,complete,Mobile,United States
204,01JWA8EEGDA17448DNM264CC3D,1/29/2025,Checkout,drop,Mobile,Russia
205,01JWA8EEGFZKA5N3848P8ABV6M,2/16/2025,Checkout,click,Mobile,United Kingdom
206,01JWA8EEGH53SQFR8Y1W3645H9,09/05/2024,Search,complete,Desktop,Russia
207,01JWA8EEGJN5Q9HAN71C340PKM,04/12/2025,Dashboard,start,Desktop,United States
208,01JWA8EEGM9YTFB7DD8A6T0P6Q,10/20/2024,Checkout,complete,Desktop,Russia
209,01JWA8EEGN080N8X10W5THS859,4/29/2025,Dashboard,drop,Mobile,United States
210,01JWA8EEGQP2MSJSA2CQY56G1S,12/08/2024,Checkout,drop,Desktop,Japan
211,01JWA8EEGSV94K3DZYDF6NFKQT,10/01/2024,Dashboard,start,Desktop,Russia
212,01JWA8EEGVAWEVV739D46ZGFXY,11/25/2024,Cart,click,Mobile,United States
213,01JWA8EEGY8S0AW2AJE409EEKH,4/24/2025,Dashboard,drop,Mobile,Russia
214,01JWA8EEGZX4VYGJ51NDY2GXBK,11/10/2024,Cart,complete,Desktop,United States
215,01JWA8EEH132C7KKX8DQ41WRTY,4/24/2025,Cart,click,Mobile,United States
216,01JWA8EEH3XG2451DJYQ8BVM4V,3/13/2025,Dashboard,click,Mobile,Russia
217,01JWA8EEH5CMB1KVQVKYSQ50B1,04/06/2025,Dashboard,complete,Desktop,Russia
218,01JWA8EEH7TE5WEQVNASXCRX97,4/19/2025,Search,complete,Desktop,Russia
219,01JWA8EEH91ACRT7AKB5ATAV16,12/21/2024,Cart,complete,Desktop,Japan
220,01JWA8EEHCK5BB7BN2NC726X3V,02/12/2025,Search,drop,Mobile,Russia
221,01JWA8EEHFNVWA29Z0XSVEWD7Y,01/06/2025,Checkout,click,Mobile,Russia
222,01JWA8EEHG1XWFPH56EB89VXYB,4/14/2025,Cart,click,Desktop,United States
223,01JWA8EEHJ13N856SBBERP7KJ6,10/20/2024,Checkout,drop,Desktop,Russia
224,01JWA8EEHM8ZZWFM19X49E628D,11/01/2024,Cart,complete,Mobile,Russia
225,01JWA8EEHQ8K8CPYSSDXYPWD41,1/26/2025,Cart,click,Desktop,Russia
226,01JWA8EEHTV577SRWNXTR0K2JZ,02/07/2025,Search,complete,Mobile,Ireland
227,01JWA8EEHW0QJG2YRJWYRTN2T8,3/31/2025,Checkout,click,Desktop,United States
228,01JWA8EEHZAF6Y1YF2KNWK7FZ1,03/11/2025,Search,complete,Desktop,Russia
229,01JWA8EEJ114AWSAE6226VQ9XQ,3/24/2025,Login,start,Desktop,Russia
230,01JWA8EEJ2Z7G54DGXV3YTPXHT,3/16/2025,Cart,click,Desktop,United States
231,01JWA8EEJ5HQQZ70A7CF6RV0G7,09/08/2024,Login,complete,Desktop,United States
232,01JWA8EEJ9TJ8GAV5MNE4229DF,5/27/2024,Search,complete,Mobile,Russia
233,01JWA8EEJB9T0PKN6P48NMSSFC,3/31/2025,Dashboard,complete,Mobile,Russia
234,01JWA8EEJENPHFC1EDRT6W24XE,12/24/2024,Login,click,Desktop,Russia
235,01JWA8EEJGT9A74TV4HQTZ9E3K,08/09/2024,Login,drop,Mobile,Russia
236,01JWA8EEJJCXJ1E74DCQ57XRCV,5/26/2025,Cart,drop,Mobile,United States
237,01JWA8EEJM85ZCZ5XW026QXJHZ,8/18/2024,Dashboard,click,Desktop,United States
238,01JWA8EEJQCQRNMSJ9HFVS8QDP,1/22/2025,Dashboard,click,Desktop,Canada
239,01JWA8EEJSYTZWWV9KF6PK46X6,3/17/2025,Checkout,complete,Mobile,Ireland
240,01JWA8EEJVE6FCK0D74S1CDK6M,10/14/2024,Checkout,click,Mobile,United States
241,01JWA8EEJX7QH87JV2V26VFXAX,3/22/2025,Login,click,Mobile,Russia
242,01JWA8EEJYJJE38VN2KVCJY1G4,05/11/2025,Search,complete,Mobile,Russia
243,01JWA8EEK0HE5RCM3B30FZEGCR,4/21/2025,Cart,start,Desktop,Russia
244,01JWA8EEK1FTVXJ2FC6P9HG9JW,10/30/2024,Dashboard,complete,Desktop,United States
245,01JWA8EEK3S2C8BATAMR43ZT20,01/09/2025,Login,drop,Mobile,Japan
246,01JWA8EEK4RZ27WR9C19CAEE34,7/23/2024,Cart,click,Mobile,Russia
247,01JWA8EEK6MJTW0Q7RT4JENC20,07/05/2024,Dashboard,complete,Desktop,Russia
248,01JWA8EEK7MARRJWNFTSNEWVNR,4/19/2025,Checkout,start,Mobile,Russia
249,01JWA8EEK98VGP9V8GYS7SCB9D,10/29/2024,Login,click,Mobile,Russia
250,01JWA8EEKD2NBGA961SYTBDJWS,10/31/2024,Checkout,complete,Mobile,Canada
251,01JWA8EEKETY6FC7RM7N30NGEP,01/07/2025,Checkout,click,Desktop,Russia
252,01JWA8EEKG6KHGM3YE9TASN2G1,09/10/2024,Cart,start,Mobile,Japan
253,01JWA8EEKHEYQW2SGZF6A9Z8KQ,4/30/2025,Login,click,Desktop,Russia
254,01JWA8EEKJ3R2HZSABEMHY95WF,10/04/2024,Dashboard,complete,Desktop,United States
255,01JWA8EEKMJNDKT5YWKPYJY198,11/11/2024,Login,complete,Mobile,United States
256,01JWA8EEKND20W1QZ22ZNHDDSB,12/14/2024,Search,click,Desktop,Russia
257,01JWA8EEKQ2DC0K1V714YRJJ8D,9/25/2024,Cart,drop,Mobile,Russia
258,01JWA8EEKRR09V2B4VJNYW4FNX,02/04/2025,Checkout,start,Mobile,United States
259,01JWA8EEKTRXQ0PH4JDK9BA11W,2/17/2025,Login,click,Desktop,Russia
260,01JWA8EEKVVK4A85EZRCWCGDBA,11/19/2024,Dashboard,drop,Desktop,Russia
261,01JWA8EEKXJ8NGTQSFQ1A1NMWG,11/12/2024,Dashboard,click,Desktop,Canada
262,01JWA8EEKYW64PG7R2ES77NZ2C,3/24/2025,Cart,complete,Mobile,Russia
263,01JWA8EEM0WC4PH8K89KJZJQ6J,7/29/2024,Dashboard,click,Desktop,Russia
264,01JWA8EEM1M953YJC0RW368N5A,7/23/2024,Cart,complete,Desktop,United States
265,01JWA8EEM3F4KRPXRTRD9T8N1J,2/22/2025,Search,complete,Mobile,Russia
266,01JWA8EEM40C0SSXTGTG991ZXK,09/04/2024,Dashboard,drop,Mobile,Ireland
267,01JWA8EEM6PM3VD5V29G419BBD,1/17/2025,Cart,drop,Mobile,Russia
268,01JWA8EEM7YZVZZ98YD3ZAVXN7,09/10/2024,Cart,start,Desktop,Japan
269,01JWA8EEM9ZCE4QBE6V5VB76MC,6/13/2024,Dashboard,start,Mobile,Russia
270,01JWA8EEMAA1D0Y18T7XKB0B6S,6/25/2024,Cart,click,Desktop,Japan
271,01JWA8EEMC4KXFGP0GGZ1DQ77F,03/09/2025,Checkout,click,Desktop,Russia
272,01JWA8EEMD11VCHJT0NDPGZ4TQ,9/13/2024,Login,complete,Mobile,Russia
273,01JWA8EEMF0EQAY0NBM5ZV4B6P,9/17/2024,Login,complete,Desktop,United States
274,01JWA8EEMG1TKX17Q9AHK2790Z,1/31/2025,Dashboard,start,Mobile,Russia
275,01JWA8EEMJ3NDH84DK3WEVQGBF,03/03/2025,Search,complete,Mobile,Russia
276,01JWA8EEMKHFE364YNV1VCGHQN,9/15/2024,Cart,complete,Mobile,Russia
277,01JWA8EEMMK6FKSP2CZZY93RC8,4/23/2025,Login,complete,Desktop,United States
278,01JWA8EEMPRDTDWDPJ63J0Z3FQ,5/21/2025,Checkout,complete,Mobile,Canada
279,01JWA8EEMRTZY5EZ1X2RA2P8M7,07/08/2024,Login,drop,Mobile,Russia
280,01JWA8EEMTFRGAQQ4HGSPEKKSQ,8/14/2024,Cart,drop,Mobile,Russia
